# format_version=1
# run_id=9:26921:243953
# id=9
# s=26921
# p=243953
# N=6567458713
# sqrtN=81039
# Nmin=1
# Mmax=500
# W=1
# depth=7
# timelimit_sec=200
# status=TIMEOUT_WITH_ROOTS
# roots_found=80
# fractions_tested=821332
# unique_fractions=821332
# build_time_sec=0.000000
# search_time_sec=200.000008
# total_time_sec=200.000009
# stopped_reason=timeout_with_roots
# error_message=
run_id root_idx x0 root_x triplet_x0 triplet_x2 aF bF loop_i loop_dx offset frac_n frac_d level interval_L interval_R parent_L parent_R interval_examined_L interval_examined_R examined_pct frac_path
9:26921:243953 43 9151 487906/53 9123 9205 538545879795/6886131630 -9870335613042555/6886131630 33 9164 41 41 3215 5 29/2274 41/3215 17/1333 12/941 9090 9212 0.151779 -
9:26921:243953 44 6985 861472/125 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 3 6956 64 64 8613 5 45/6056 19/2557 7/942 19/2557 6886 7082 0.243093 -
9:26921:243953 45 6985 975812/139 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 3 6956 64 64 8613 5 45/6056 19/2557 7/942 19/2557 6886 7082 0.243093 -
9:26921:243953 46 52446 731859/14 52334 52592 1695447432448/710106229824 -177841486816577216/710106229824 81 52463 129 129 308 6 80/191 129/308 31/74 49/117 52191 52707 0.637964 -
9:26921:243953 47 52446 1157603/22 52334 52592 1695447432448/710106229824 -177841486816577216/710106229824 81 52463 129 129 308 6 80/191 129/308 31/74 49/117 52191 52707 0.637964 -
9:26921:243953 48 34926 243953/7 34875 35047 1129372051500/210229429500 -78975995082925500/210229429500 78 34961 86 86 463 6 73/393 13/70 47/253 13/70 34767 35082 0.389936 -
9:26921:243953 49 34926 1157603/33 34875 35047 1129372051500/210229429500 -78975995082925500/210229429500 78 34961 86 86 463 6 73/393 13/70 47/253 13/70 34767 35082 0.389936 -
9:26921:243953 50 34760 242289/7 34619 34835 1418200569240/260485818840 -98512408255380600/260485818840 21 34727 108 108 587 6 23/125 85/462 23/125 39/212 34507 34957 0.556522 -
9:26921:243953 51 34760 243953/7 34619 34835 1418200569240/260485818840 -98512408255380600/260485818840 21 34727 108 108 587 6 23/125 85/462 23/125 39/212 34507 34957 0.556522 -
9:26921:243953 52 34760 242289/7 34628 34844 1418935765632/260620854912 -98563477172350080/260620854912 30 34736 108 108 587 6 23/125 85/462 23/125 39/212 34507 34957 0.556522 -
9:26921:243953 53 34760 243953/7 34628 34844 1418935765632/260620854912 -98563477172350080/260620854912 30 34736 108 108 587 6 23/125 85/462 23/125 39/212 34507 34957 0.556522 -
9:26921:243953 54 32119 12441603/389 31989 32295 2009349848475/316123935030 -129178284536330865/316123935030 99 32142 153 153 974 6 41/261 112/713 41/261 30/191 31875 32360 0.599711 -
9:26921:243953 55 32119 161526/5 31989 32295 2009349848475/316123935030 -129178284536330865/316123935030 99 32142 153 153 974 6 41/261 112/713 41/261 30/191 31875 32360 0.599711 -
9:26921:243953 56 31894 731859/23 31853 31967 749428210336/116079913014 -47804893249059128/116079913014 44 31910 57 57 368 6 11/71 46/297 11/71 24/155 31782 32013 0.286282 -
9:26921:243953 57 31894 511499/16 31853 31967 749428210336/116079913014 -47804893249059128/116079913014 44 31910 57 57 368 6 11/71 46/297 11/71 24/155 31782 32013 0.286282 -
9:26921:243953 58 26877 2683483/100 26866 26888 144474601600/15892206176 -7766336230721152/15892206176 0 26877 11 11 100 6 1/9 11/100 1/9 9/82 26834 26921 0.108590 -
9:26921:243953 59 26877 26921 26866 26888 144474601600/15892206176 -7766336230721152/15892206176 0 26877 11 11 100 6 1/9 11/100 1/9 9/82 26834 26921 0.108590 -
9:26921:243953 60 22862 975812/43 22699 22979 1839162731846/146048089880 -84002956598972994/146048089880 47 22839 140 140 1759 6 39/490 101/1269 39/490 23/289 22602 23080 0.591073 -
9:26921:243953 61 22862 942235/41 22699 22979 1839162731846/146048089880 -84002956598972994/146048089880 47 22839 140 140 1759 6 39/490 101/1269 39/490 23/289 22602 23080 0.591073 -
9:26921:243953 62 17951 1157603/65 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 53 17940 129 129 2629 6 79/1610 129/2629 29/591 50/1019 17748 18197 0.555288 -
9:26921:243953 63 17951 487906/27 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 53 17940 129 129 2629 6 79/1610 129/2629 29/591 50/1019 17748 18197 0.555288 -
9:26921:243953 64 17947 1157603/65 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 57 17940 129 129 2630 6 80/1631 129/2630 31/632 49/999 17748 18197 0.555288 -
9:26921:243953 65 17947 487906/27 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 57 17940 129 129 2630 6 80/1631 129/2630 31/632 49/999 17748 18197 0.555288 -
9:26921:243953 66 17937 1157603/65 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 67 17940 129 129 2633 6 56/1143 73/1490 39/796 17/347 17743 18197 0.561458 -
9:26921:243953 67 17937 487906/27 17811 18069 1694418939135/83031355422 -60795447409687545/83031355422 67 17940 129 129 2633 6 56/1143 73/1490 39/796 17/347 17743 18197 0.561458 -
9:26921:243953 68 16311 243953/15 16269 16351 538679198475/21813182358 -17569295521084857/21813182358 0 16310 41 41 1012 6 22/543 41/1012 3/74 19/469 16263 16352 0.111058 -
9:26921:243953 69 16311 2207522/135 16269 16351 538679198475/21813182358 -17569295521084857/21813182358 0 16310 41 41 1012 6 22/543 41/1012 3/74 19/469 16263 16352 0.111058 -
9:26921:243953 70 14234 269210/19 14169 14349 1182050043534/36595976580 -33710994979475886/36595976580 70 14259 90 90 2917 6 73/2366 17/551 39/1264 17/551 14072 14409 0.417083 -
9:26921:243953 71 14234 243953/17 14169 14349 1182050043534/36595976580 -33710994979475886/36595976580 70 14259 90 90 2917 6 73/2366 17/551 39/1264 17/551 14072 14409 0.417083 -
9:26921:243953 72 10796 53842/5 10771 10823 341563381690/6061875716 -7375116973878250/6061875716 14 10797 26 26 1465 6 3/169 26/1465 3/169 20/1127 10755 10836 0.101186 -
9:26921:243953 73 10796 3171389/293 10771 10823 341563381690/6061875716 -7375116973878250/6061875716 14 10797 26 26 1465 6 3/169 26/1465 3/169 20/1127 10755 10836 0.101186 -
9:26921:243953 74 6988 861472/125 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 0 6956 64 64 8605 6 53/7126 11/1479 31/4168 11/1479 6886 7084 0.245561 -
9:26921:243953 75 6988 975812/139 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 0 6956 64 64 8605 6 53/7126 11/1479 31/4168 11/1479 6886 7084 0.245561 -
9:26921:243953 76 6986 861472/125 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 2 6956 64 64 8611 6 11/1480 53/7131 11/1480 31/4171 6886 7082 0.243093 -
9:26921:243953 77 6986 975812/139 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 2 6956 64 64 8611 6 11/1480 53/7131 11/1480 31/4171 6886 7082 0.243093 -
9:26921:243953 78 6960 861472/125 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 28 6956 64 64 8675 6 11/1491 53/7184 11/1491 31/4202 6838 7082 0.302324 -
9:26921:243953 79 6960 975812/139 6892 7020 840634470000/6192875520 -11694905779003200/6192875520 28 6956 64 64 8675 6 11/1491 53/7184 11/1491 31/4202 6838 7082 0.302324 -
